scorer,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000,DLC_dlcrnetms5_openfieldMay31shuffle1_200000
individuals,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase,nose,nose,nose,neck,neck,neck,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
51,341.139,134.525,1.0,350.493,134.96,1.0,380.105,133.314,1.0,437.844,157.47,1.0,430.752,159.304,1.0,406.098,176.182,1.0
52,341.138,134.521,1.0,350.496,134.962,1.0,380.103,133.316,1.0,437.841,157.459,1.0,430.749,159.299,1.0,406.097,176.179,1.0
53,340.924,134.919,1.0,350.348,134.764,1.0,380.079,133.111,1.0,437.73,156.4,1.0,430.887,158.995,1.0,405.953,176.278,1.0
54,340.955,135.308,1.0,350.776,134.483,1.0,380.122,133.216,1.0,437.924,156.068,1.0,430.692,158.84,1.0,406.015,176.617,1.0
55,340.916,134.841,1.0,351.082,134.352,1.0,380.343,133.348,1.0,437.643,155.507,1.0,430.688,158.117,1.0,405.736,176.478,1.0
56,340.983,134.966,1.0,350.524,134.485,1.0,380.266,133.208,1.0,436.778,155.523,1.0,430.606,158.328,1.0,405.429,176.275,1.0
57,435.309,153.687,1.0,427.49,161.155,1.0,405.143,176.163,1.0,340.987,134.61,1.0,349.731,135.225,1.0,380.341,133.228,1.0
58,435.308,153.689,1.0,427.495,161.154,1.0,405.146,176.162,1.0,340.994,134.609,1.0,349.735,135.225,1.0,380.343,133.226,1.0
59,434.659,154.498,1.0,426.638,160.15,1.0,405.298,175.991,1.0,341.239,134.85,1.0,350.384,134.906,1.0,380.506,133.2,1.0
60,338.427,136.66,1.0,349.156,134.685,1.0,379.343,133.252,1.0,433.025,150.777,1.0,424.955,158.015,1.0,405.881,175.859,1.0
61,337.926,137.01,1.0,349.423,134.609,1.0,379.634,133.042,1.0,430.007,149.654,1.0,424.608,157.147,1.0,406.026,175.518,1.0
62,337.991,136.765,1.0,349.615,134.412,1.0,379.787,133.009,1.0,429.089,148.904,1.0,424.029,155.849,1.0,406.505,175.627,1.0
63,338.466,136.628,1.0,349.562,134.219,1.0,379.32,132.565,1.0,429.472,142.884,1.0,424.275,153.716,1.0,406.518,175.905,1.0
64,338.443,136.651,1.0,349.542,134.226,1.0,379.318,132.572,1.0,429.474,142.88,1.0,424.239,153.695,1.0,406.514,175.908,1.0
65,428.934,142.903,1.0,425.974,150.375,1.0,408.624,173.857,1.0,340.998,135.369,1.0,349.23,134.758,1.0,379.542,132.695,1.0
